Airport,State,TotalFlights
ORD,Illinois,46001
BOS,Massachusetts,20476
DTW,Michigan,19221
BDL,Connecticut,3405
DFW,Texas,47504
EWR,New Jersey,22945
MIA,Florida,20424
HOU,Texas,9211
SYR,New York,2525
RSW,Florida,7681
MSP,Minnesota,19093
SNA,California,7390
ATL,Georgia,52703
LIH,Hawaii,2646
MRY,California,618
LGA,New York,25656
KOA,Hawaii,2804
MCO,Florida,28600
ONT,California,3813
PSP,California,2983
BNA,Tennessee,15174
STL,Missouri,10310
SFO,California,20598
BWI,Maryland,15103
DEN,Colorado,48997
BIL,Montana,719
PHX,Arizona,31135
DCA,Virginia,23435
SAV,Georgia,2953
SLC,Utah,18936
PHL,Pennsylvania,16852
MOT,North Dakota,378
SMF,California,8444
OMA,Nebraska,3894
DAL,Texas,12074
PIA,Illinois,724
ROA,Virginia,935
TUL,Oklahoma,2804
MDW,Illinois,11768
CLT,North Carolina,38256
CID,Iowa,1267
LAS,Nevada,30106
MYR,South Carolina,1598
SAN,California,14293
MCI,Missouri,7807
GSP,South Carolina,2458
BZN,Montana,1940
CMX,Michigan,122
OKC,Oklahoma,3724
DSM,Iowa,2608
MDT,Pennsylvania,1311
CLE,Ohio,6677
MOB,Alabama,746
FAT,California,1743
PBI,Florida,5817
SDF,Kentucky,3877
AZA,Arizona,1022
SEA,Washington,26285
AVL,North Carolina,1774
COS,Colorado,2007
ECP,Florida,1005
AUS,Texas,13579
FLL,Florida,16907
PVD,Rhode Island,2244
HNL,Hawaii,10340
BOI,Idaho,3920
DAY,Ohio,1553
PDX,Oregon,9995
PWM,Maine,1391
CHA,Tennessee,1129
JFK,New York,18938
SJU,Puerto Rico,6045
RDU,North Carolina,9139
IND,Indiana,7160
CMH,Ohio,6563
GEG,Washington,3091
MSY,Louisiana,8238
GNV,Florida,630
RNO,Nevada,3216
SBN,Indiana,1015
HRL,Texas,908
IAD,Virginia,11226
ALO,Iowa,116
LAX,California,30674
ITO,Hawaii,1194
EYW,Florida,1710
TUS,Arizona,3314
RDD,California,232
LGB,California,2974
PNS,Florida,1909
BUF,New York,3451
CVG,Kentucky,6587
BTV,Vermont,1101
OTZ,Alaska,120
PIT,Pennsylvania,6763
GRR,Michigan,3212
IAH,Texas,25761
TPA,Florida,13645
CAK,Ohio,540
LIT,Arkansas,2278
SBA,California,1104
TYS,Tennessee,2672
CDV,Alaska,120
ABQ,New Mexico,3721
OAK,California,7143
LFT,Louisiana,665
AVP,Pennsylvania,399
TLH,Florida,1132
CHS,South Carolina,3582
SRQ,Florida,3232
ANC,Alaska,2924
DRO,Colorado,608
OGG,Hawaii,4524
FAI,Alaska,725
JAX,Florida,4707
LRD,Texas,420
PSE,Puerto Rico,184
BUR,California,4660
ALB,New York,2309
EAT,Washington,124
FAR,North Dakota,1062
SUN,Idaho,606
FWA,Indiana,986
CHO,Virginia,985
BTM,Montana,112
SCE,Pennsylvania,454
EGE,Colorado,1267
SAF,New Mexico,434
JNU,Alaska,668
JAN,Mississippi,1419
DVL,North Dakota,112
HIB,Minnesota,102
USA,North Carolina,136
MLB,Florida,446
LYH,Virginia,240
MSN,Wisconsin,1826
ASE,Colorado,1939
GJT,Colorado,614
PAE,Washington,587
MFR,Oregon,1015
ISP,New York,958
FSD,South Dakota,1259
HPN,New York,2150
SAT,Texas,6750
BHM,Alabama,2871
MTJ,Colorado,754
LAN,Michigan,296
BLI,Washington,409
DLH,Minnesota,300
MHT,New Hampshire,980
JAC,Wyoming,1112
ORF,Virginia,3271
GUC,Colorado,262
STX,U.S. Virgin Islands,292
IDA,Idaho,600
SHV,Louisiana,834
ELP,Texas,2973
MEM,Tennessee,3584
RIC,Virginia,3422
EUG,Oregon,1339
ALW,Washington,124
PIH,Idaho,124
RDM,Oregon,1208
MAF,Texas,1602
MKE,Wisconsin,4644
GPT,Mississippi,590
RST,Minnesota,314
SJC,California,7762
TRI,Tennessee,619
ROC,New York,2248
XNA,Arkansas,2093
STT,U.S. Virgin Islands,1106
MLI,Illinois,814
ACY,New Jersey,524
BIS,North Dakota,554
CDC,Utah,104
LEX,Kentucky,1424
SFB,Florida,1488
SGF,Missouri,1507
FNT,Michigan,465
COD,Wyoming,124
LBB,Texas,1114
ELM,New York,152
GFK,North Dakota,238
PIE,Florida,1160
ICT,Kansas,1823
FCA,Montana,643
GSO,North Carolina,1972
PRC,Arizona,124
MHK,Kansas,308
VPS,Florida,1106
HSV,Alabama,1851
OAJ,North Carolina,366
CRW,West Virginia,521
BMI,Illinois,410
YAK,Alaska,120
RAP,South Dakota,638
CWA,Wisconsin,248
PGD,Florida,1080
LWS,Idaho,186
BGR,Maine,605
BTR,Louisiana,942
ATW,Wisconsin,1059
TVC,Michigan,574
BLV,Illinois,120
SPI,Illinois,144
PSC,Washington,914
SGU,Utah,414
MLU,Louisiana,310
GRB,Wisconsin,786
GRK,Texas,258
VLD,Georgia,124
BJI,Minnesota,122
GCK,Kansas,124
COU,Missouri,310
MFE,Texas,844
SBP,California,744
AMA,Texas,940
ILM,North Carolina,1172
LNK,Nebraska,434
ART,New York,106
SUX,Iowa,122
FLG,Arizona,220
LBF,Nebraska,102
PQI,Maine,106
JST,Pennsylvania,124
ACV,California,297
TWF,Idaho,124
CAE,South Carolina,1555
TTN,New Jersey,491
DAB,Florida,402
WRG,Alaska,120
LAR,Wyoming,104
FLO,South Carolina,124
GTF,Montana,448
PBG,New York,80
PVU,Utah,332
MSO,Montana,667
LAW,Oklahoma,182
SBY,Maryland,240
KTN,Alaska,364
CRP,Texas,951
TYR,Texas,186
GGG,Texas,122
CPR,Wyoming,372
LCH,Louisiana,294
ACT,Texas,186
PHF,Virginia,234
GUM,U.S. Pacific Trust Territories and Possessions,124
MQT,Michigan,138
EVV,Indiana,490
ABI,Texas,302
ABE,Pennsylvania,698
HDN,Colorado,864
FSM,Arkansas,186
AGS,Georgia,766
XWA,North Dakota,298
GRI,Nebraska,162
YUM,Arizona,222
YKM,Washington,124
BRO,Texas,470
BQK,Georgia,124
ABR,South Dakota,122
HTS,West Virginia,178
FAY,North Carolina,478
EWN,North Carolina,238
ITH,New York,246
MBS,Michigan,328
DDC,Kansas,105
BQN,Puerto Rico,456
MEI,Mississippi,104
BFL,California,359
BPT,Texas,124
CKB,West Virginia,30
AEX,Louisiana,310
ESC,Michigan,104
PPG,U.S. Pacific Trust Territories and Possessions,20
HLN,Montana,322
FOD,Iowa,104
BIH,California,108
SIT,Alaska,184
STS,California,500
MGM,Alabama,502
CIU,Michigan,122
APN,Michigan,102
RHI,Wisconsin,122
PSM,New Hampshire,46
LSE,Wisconsin,112
OME,Alaska,120
LCK,Ohio,114
GTR,Mississippi,124
ROW,New Mexico,124
BRW,Alaska,70
TXK,Arkansas,138
PUW,Washington,200
SJT,Texas,186
HOB,New Mexico,124
GCC,Wyoming,122
JMS,North Dakota,112
IMT,Michigan,122
CMI,Illinois,246
DEC,Illinois,166
SCC,Alaska,92
BRD,Minnesota,104
MCW,Iowa,104
DLG,Alaska,60
HYS,Kansas,122
DHN,Alabama,124
CYS,Wyoming,114
ABY,Georgia,124
SWO,Oklahoma,124
CNY,Utah,62
LBE,Pennsylvania,62
BFF,Nebraska,102
HHH,South Carolina,124
PLN,Michigan,103
AZO,Michigan,258
SLN,Kansas,122
SPS,Texas,124
SMX,California,18
SHR,Wyoming,122
CSG,Georgia,164
CLL,Texas,186
ORH,Massachusetts,202
RKS,Wyoming,78
BET,Alaska,120
STC,Minnesota,37
PIB,Mississippi,104
SCK,California,78
ADQ,Alaska,113
RIW,Wyoming,78
RFD,Illinois,130
TOL,Ohio,76
DIK,North Dakota,106
INL,Minnesota,102
PGV,North Carolina,170
JLN,Missouri,102
VCT,Texas,106
ERI,Pennsylvania,124
ADK,Alaska,18
EKO,Nevada,62
OTH,Oregon,34
SWF,New York,60
PSG,Alaska,120
LBL,Kansas,22
IAG,New York,76
BGM,New York,64
HGR,Maryland,34
VEL,Utah,104
SPN,U.S. Pacific Trust Territories and Possessions,62
AKN,Alaska,34
