,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
293856,20,6,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,-7.0,0.0,1200-1259,-6.0,0.0,1400-1459,0.0,823.0
558598,27,6,AS,AS,BRW,AK,Alaska,ANC,AK,Alaska,-9.0,0.0,1700-1759,-7.0,0.0,1900-1959,0.0,725.0
452814,24,3,DL,9E,BGM,NY,New York,DTW,MI,Michigan,232.0,232.0,0001-0559,200.0,200.0,0700-0759,0.0,378.0
339732,27,6,UA,OO,CNY,UT,Utah,DEN,CO,Colorado,-8.0,0.0,1800-1859,-8.0,0.0,1900-1959,0.0,283.0
363713,12,5,DL,OO,EKO,NV,Nevada,SLC,UT,Utah,-2.0,0.0,0600-0659,-18.0,0.0,0800-0859,0.0,200.0
564520,18,4,AS,QX,DLG,AK,Alaska,ANC,AK,Alaska,-16.0,0.0,1200-1259,-4.0,0.0,1300-1359,0.0,329.0
246081,12,5,G4,G4,SWF,NY,New York,PGD,FL,Florida,-5.0,0.0,1100-1159,-6.0,0.0,1400-1459,0.0,1101.0
453300,12,5,DL,9E,DTW,MI,Michigan,BGM,NY,New York,,,2100-2159,,,2200-2259,1.0,378.0
241052,2,2,G4,G4,PIE,FL,Florida,CKB,WV,West Virginia,11.0,11.0,1300-1359,38.0,38.0,1500-1559,0.0,798.0
293867,31,3,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,-10.0,0.0,0900-0959,-8.0,0.0,1100-1159,0.0,823.0
323625,7,7,UA,OO,CNY,UT,Utah,DEN,CO,Colorado,,,1800-1859,,,1900-1959,1.0,283.0
245105,4,4,G4,G4,PGD,FL,Florida,PSM,NH,New Hampshire,-4.0,0.0,0700-0759,-15.0,0.0,1000-1059,0.0,1279.0
240329,11,4,G4,G4,PIE,FL,Florida,SWF,NY,New York,-5.0,0.0,0800-0859,-24.0,0.0,1100-1159,0.0,1055.0
359851,15,1,UA,OO,SFO,CA,California,OTH,OR,Oregon,-11.0,0.0,1100-1159,-22.0,0.0,1300-1359,0.0,412.0
245958,22,1,G4,G4,PSM,NH,New Hampshire,PGD,FL,Florida,161.0,161.0,1800-1859,141.0,141.0,2200-2259,0.0,1279.0
338777,26,5,UA,OO,SFO,CA,California,OTH,OR,Oregon,-10.0,0.0,1100-1159,-30.0,0.0,1300-1359,0.0,412.0
241284,9,2,G4,G4,PGD,FL,Florida,IAG,NY,New York,12.0,12.0,1000-1059,-12.0,0.0,1200-1259,0.0,1129.0
293678,12,5,NK,NK,LBE,PA,Pennsylvania,MCO,FL,Florida,-10.0,0.0,1200-1259,-1.0,0.0,1500-1559,0.0,823.0
362394,11,4,DL,OO,SLC,UT,Utah,EKO,NV,Nevada,-3.0,0.0,2100-2159,-17.0,0.0,2100-2159,0.0,200.0
323367,5,5,UA,OO,LBL,KS,Kansas,DEN,CO,Colorado,10.0,10.0,1200-1259,-2.0,0.0,1200-1259,0.0,280.0
561966,4,4,AS,QX,DLG,AK,Alaska,ANC,AK,Alaska,43.0,43.0,1200-1259,42.0,42.0,1300-1359,0.0,329.0
337807,31,3,UA,OO,SFO,CA,California,OTH,OR,Oregon,-2.0,0.0,1100-1159,-16.0,0.0,1300-1359,0.0,412.0
293839,3,3,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,-5.0,0.0,0900-0959,-1.0,0.0,1100-1159,0.0,823.0
546857,6,6,AS,AS,ADK,AK,Alaska,ANC,AK,Alaska,,,1400-1459,,,1800-1859,1.0,1192.0
560261,30,2,AS,AS,ANC,AK,Alaska,BRW,AK,Alaska,18.0,18.0,1400-1459,14.0,14.0,1600-1659,0.0,725.0
325054,1,1,UA,OO,DEN,CO,Colorado,CNY,UT,Utah,-8.0,0.0,1600-1659,-17.0,0.0,1700-1759,0.0,283.0
338347,22,1,UA,OO,SFO,CA,California,OTH,OR,Oregon,-1.0,0.0,1100-1159,-15.0,0.0,1300-1359,0.0,412.0
245886,21,7,G4,G4,SWF,NY,New York,PIE,FL,Florida,-3.0,0.0,1100-1159,-28.0,0.0,1500-1559,0.0,1055.0
452803,13,6,DL,9E,BGM,NY,New York,DTW,MI,Michigan,,,0001-0559,,,0700-0759,1.0,378.0
359961,15,1,UA,OO,OTH,OR,Oregon,SFO,CA,California,8.0,8.0,1300-1359,-4.0,0.0,1500-1559,0.0,412.0
451810,3,3,DL,9E,LGA,NY,New York,BGM,NY,New York,-11.0,0.0,1900-1959,-28.0,0.0,2100-2159,0.0,147.0
239980,28,7,G4,G4,TOL,OH,Ohio,PGD,FL,Florida,-7.0,0.0,1100-1159,-26.0,0.0,1400-1459,0.0,1016.0
293843,7,7,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,8.0,8.0,1000-1059,1.0,1.0,1300-1359,0.0,823.0
293850,14,7,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,-9.0,0.0,1000-1059,-26.0,0.0,1200-1259,0.0,823.0
242147,8,1,G4,G4,PIE,FL,Florida,TOL,OH,Ohio,-7.0,0.0,0700-0759,-18.0,0.0,1000-1059,0.0,945.0
243292,11,4,G4,G4,STC,MN,Minnesota,PGD,FL,Florida,-11.0,0.0,1800-1859,-14.0,0.0,2200-2259,0.0,1447.0
562183,5,5,AS,QX,DLG,AK,Alaska,ANC,AK,Alaska,,,1200-1259,,,1300-1359,1.0,329.0
562367,6,6,AS,QX,DLG,AK,Alaska,ANC,AK,Alaska,40.0,40.0,1200-1259,35.0,35.0,1300-1359,0.0,329.0
544103,2,2,AS,AS,BRW,AK,Alaska,ANC,AK,Alaska,,,1700-1759,,,1900-1959,1.0,725.0
363615,6,6,DL,OO,EKO,NV,Nevada,SLC,UT,Utah,-3.0,0.0,0600-0659,-29.0,0.0,0800-0859,0.0,200.0
293697,31,3,NK,NK,LBE,PA,Pennsylvania,MCO,FL,Florida,-6.0,0.0,1200-1259,-26.0,0.0,1500-1559,0.0,823.0
239654,12,5,G4,G4,TOL,OH,Ohio,SFB,FL,Florida,-6.0,0.0,2000-2059,8.0,8.0,2300-2359,0.0,895.0
315896,17,3,UA,OO,DEN,CO,Colorado,CNY,UT,Utah,97.0,97.0,1400-1459,90.0,90.0,1500-1559,0.0,283.0
239507,29,1,G4,G4,PSM,NH,New Hampshire,PGD,FL,Florida,61.0,61.0,1800-1859,50.0,50.0,2200-2259,0.0,1279.0
252609,4,4,HA,HA,HNL,HI,Hawaii,PPG,TT,U.S. Pacific Trust Territories and Possessions,0.0,0.0,1600-1659,-2.0,0.0,2100-2159,0.0,2599.0
293844,8,1,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,24.0,24.0,0900-0959,14.0,14.0,1100-1159,0.0,823.0
544851,3,3,AS,AS,ADK,AK,Alaska,ANC,AK,Alaska,,,1400-1459,,,1800-1859,1.0,1192.0
548608,9,2,AS,AS,ANC,AK,Alaska,BRW,AK,Alaska,90.0,90.0,1400-1459,73.0,73.0,1600-1659,0.0,725.0
358838,29,1,DL,OO,EKO,NV,Nevada,SLC,UT,Utah,-10.0,0.0,0600-0659,-15.0,0.0,0800-0859,0.0,200.0
367666,10,3,UA,OO,SFO,CA,California,OTH,OR,Oregon,-7.0,0.0,1100-1159,,,1300-1359,0.0,412.0
452800,10,3,DL,9E,BGM,NY,New York,DTW,MI,Michigan,-4.0,0.0,0001-0559,-50.0,0.0,0700-0759,0.0,378.0
565916,26,5,AS,QX,ANC,AK,Alaska,AKN,AK,Alaska,146.0,146.0,1500-1559,143.0,143.0,1600-1659,0.0,288.0
243087,15,1,G4,G4,SFB,FL,Florida,HGR,MD,Maryland,37.0,37.0,1700-1759,20.0,20.0,1900-1959,0.0,780.0
453306,18,4,DL,9E,DTW,MI,Michigan,BGM,NY,New York,-10.0,0.0,2100-2159,-30.0,0.0,2200-2259,0.0,378.0
324563,8,1,UA,OO,DEN,CO,Colorado,CNY,UT,Utah,-10.0,0.0,1600-1659,2.0,2.0,1700-1759,0.0,283.0
244156,19,5,G4,G4,PSM,NH,New Hampshire,PGD,FL,Florida,20.0,20.0,1800-1859,12.0,12.0,2200-2259,0.0,1279.0
311627,20,6,UA,OO,DEN,CO,Colorado,CNY,UT,Utah,2.0,2.0,1400-1459,2.0,2.0,1500-1559,0.0,283.0
293854,18,4,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,114.0,114.0,1000-1059,107.0,107.0,1200-1259,0.0,823.0
325719,19,5,UA,OO,SFO,CA,California,OTH,OR,Oregon,-6.0,0.0,1100-1159,-4.0,0.0,1300-1359,0.0,412.0
419111,18,4,UA,UA,SPN,TT,U.S. Pacific Trust Territories and Possessions,GUM,TT,U.S. Pacific Trust Territories and Possessions,-18.0,0.0,0900-0959,-17.0,0.0,1000-1059,0.0,129.0
240480,25,4,G4,G4,PIE,FL,Florida,SWF,NY,New York,7.0,7.0,0800-0859,-4.0,0.0,1100-1159,0.0,1055.0
351304,14,7,DL,OO,EKO,NV,Nevada,SLC,UT,Utah,0.0,0.0,0600-0659,-10.0,0.0,0800-0859,0.0,200.0
452820,30,2,DL,9E,BGM,NY,New York,DTW,MI,Michigan,-6.0,0.0,0001-0559,2.0,2.0,0700-0759,0.0,378.0
565760,25,4,AS,QX,ANC,AK,Alaska,DLG,AK,Alaska,0.0,0.0,1000-1059,1.0,1.0,1100-1159,0.0,329.0
239947,20,6,G4,G4,AZA,AZ,Arizona,STC,MN,Minnesota,-6.0,0.0,0700-0759,-29.0,0.0,1100-1159,0.0,1259.0
