,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
0,14,7,UA,G7,MHT,NH,New Hampshire,EWR,NJ,New Jersey,71.0,71.0,1700-1759,45.0,45.0,1900-1959,0.0,209.0
1,14,7,UA,G7,IAD,VA,Virginia,EWR,NJ,New Jersey,-1.0,0.0,0800-0859,26.0,26.0,0900-0959,0.0,212.0
2,14,7,UA,G7,EWR,NJ,New Jersey,MHT,NH,New Hampshire,74.0,74.0,1500-1559,86.0,86.0,1600-1659,0.0,209.0
3,14,7,UA,G7,STL,MO,Missouri,ORD,IL,Illinois,0.0,0.0,0600-0659,25.0,25.0,0700-0759,0.0,258.0
4,14,7,UA,G7,STL,MO,Missouri,IAD,VA,Virginia,33.0,33.0,1300-1359,18.0,18.0,1600-1659,0.0,696.0
5,14,7,UA,G7,STL,MO,Missouri,ORD,IL,Illinois,52.0,52.0,1000-1059,48.0,48.0,1200-1259,0.0,258.0
6,14,7,UA,G7,EWR,NJ,New Jersey,ILM,NC,North Carolina,7.0,7.0,2000-2059,11.0,11.0,2200-2259,0.0,488.0
7,14,7,UA,G7,RIC,VA,Virginia,ORD,IL,Illinois,,,1700-1759,,,1800-1859,1.0,642.0
8,14,7,UA,G7,EWR,NJ,New Jersey,ILM,NC,North Carolina,-10.0,0.0,1300-1359,-12.0,0.0,1500-1559,0.0,488.0
9,14,7,UA,G7,RIC,VA,Virginia,EWR,NJ,New Jersey,-6.0,0.0,0600-0659,-35.0,0.0,0700-0759,0.0,277.0
10,14,7,UA,G7,PQI,ME,Maine,EWR,NJ,New Jersey,,,0600-0659,,,0800-0859,1.0,515.0
11,14,7,UA,G7,RIC,VA,Virginia,ORD,IL,Illinois,52.0,52.0,1000-1059,50.0,50.0,1200-1259,0.0,642.0
12,14,7,UA,G7,ORD,IL,Illinois,STL,MO,Missouri,51.0,51.0,1800-1859,45.0,45.0,1900-1959,0.0,258.0
13,14,7,UA,G7,RIC,VA,Virginia,EWR,NJ,New Jersey,-9.0,0.0,1200-1259,-42.0,0.0,1400-1459,0.0,277.0
14,14,7,UA,G7,EWR,NJ,New Jersey,ALB,NY,New York,2.0,2.0,1900-1959,-9.0,0.0,2000-2059,0.0,143.0
15,14,7,UA,G7,DCA,VA,Virginia,EWR,NJ,New Jersey,-10.0,0.0,1600-1659,-46.0,0.0,1800-1859,0.0,199.0
16,14,7,UA,G7,LNK,NE,Nebraska,ORD,IL,Illinois,76.0,76.0,1500-1559,80.0,80.0,1700-1759,0.0,466.0
17,14,7,UA,G7,ORD,IL,Illinois,AVL,NC,North Carolina,58.0,58.0,1100-1159,60.0,60.0,1300-1359,0.0,536.0
18,14,7,UA,G7,DCA,VA,Virginia,EWR,NJ,New Jersey,-6.0,0.0,1000-1059,-20.0,0.0,1200-1259,0.0,199.0
19,14,7,UA,G7,EWR,NJ,New Jersey,PQI,ME,Maine,-10.0,0.0,1400-1459,-14.0,0.0,1600-1659,0.0,515.0
20,14,7,UA,G7,ORD,IL,Illinois,STL,MO,Missouri,,,1200-1259,,,1400-1459,1.0,258.0
21,14,7,UA,G7,ORD,IL,Illinois,SDF,KY,Kentucky,-5.0,0.0,1400-1459,-11.0,0.0,1600-1659,0.0,286.0
22,14,7,UA,G7,LNK,NE,Nebraska,ORD,IL,Illinois,,,0700-0759,,,0900-0959,1.0,466.0
23,14,7,UA,G7,EWR,NJ,New Jersey,PWM,ME,Maine,-7.0,0.0,0800-0859,-29.0,0.0,1000-1059,0.0,284.0
24,14,7,UA,G7,ORD,IL,Illinois,RIC,VA,Virginia,57.0,57.0,1000-1059,24.0,24.0,1300-1359,0.0,642.0
25,14,7,UA,G7,EWR,NJ,New Jersey,PHL,PA,Pennsylvania,-13.0,0.0,0900-0959,-26.0,0.0,1000-1059,0.0,80.0
26,14,7,UA,G7,EWR,NJ,New Jersey,IAD,VA,Virginia,-6.0,0.0,0600-0659,-6.0,0.0,0700-0759,0.0,212.0
27,14,7,UA,G7,SCE,PA,Pennsylvania,ORD,IL,Illinois,-4.0,0.0,0600-0659,-12.0,0.0,0700-0759,0.0,528.0
