,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
152819,22,1,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,-2.0,0.0,1300-1359,4.0,4.0,1700-1759,0.0,1199.0
468271,15,1,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,6.0,6.0,1500-1559,18.0,18.0,1700-1759,0.0,936.0
411197,7,7,UA,UA,DFW,TX,Texas,ORD,IL,Illinois,-7.0,0.0,1000-1059,-20.0,0.0,1200-1259,0.0,802.0
195449,1,1,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,-13.0,0.0,1900-1959,-18.0,0.0,2200-2259,0.0,731.0
483362,7,7,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,29.0,29.0,1700-1759,12.0,12.0,2000-2059,0.0,936.0
109353,15,1,WN,WN,ORD,IL,Illinois,DEN,CO,Colorado,164.0,164.0,1600-1659,148.0,148.0,1800-1859,0.0,888.0
220156,28,7,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,20.0,20.0,0800-0859,28.0,28.0,1100-1159,0.0,731.0
196557,3,3,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,3.0,3.0,1200-1259,-1.0,0.0,1700-1759,0.0,1199.0
296150,14,7,AA,OH,ATL,GA,Georgia,CLT,NC,North Carolina,-10.0,0.0,0700-0759,-6.0,0.0,0800-0859,0.0,226.0
217978,23,2,DL,DL,ATL,GA,Georgia,CLT,NC,North Carolina,-3.0,0.0,1200-1259,-11.0,0.0,1300-1359,0.0,226.0
508829,22,1,AA,AA,ORD,IL,Illinois,CLT,NC,North Carolina,-1.0,0.0,0700-0759,29.0,29.0,0900-0959,0.0,599.0
190791,29,1,DL,DL,ORD,IL,Illinois,ATL,GA,Georgia,-3.0,0.0,0700-0759,-5.0,0.0,1000-1059,0.0,606.0
195730,14,7,DL,DL,ATL,GA,Georgia,DFW,TX,Texas,-4.0,0.0,0800-0859,-11.0,0.0,1000-1059,0.0,731.0
493693,29,1,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,16.0,16.0,0001-0559,13.0,13.0,0700-0759,0.0,731.0
194528,18,4,DL,DL,ATL,GA,Georgia,DFW,TX,Texas,2.0,2.0,1300-1359,1.0,1.0,1500-1559,0.0,731.0
382621,2,2,UA,UA,ORD,IL,Illinois,DEN,CO,Colorado,0.0,0.0,1700-1759,-7.0,0.0,1900-1959,0.0,888.0
460992,2,2,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,-1.0,0.0,2200-2259,-28.0,0.0,0001-0559,0.0,936.0
457316,15,1,AA,AA,ORD,IL,Illinois,DFW,TX,Texas,15.0,15.0,0001-0559,29.0,29.0,0700-0759,0.0,802.0
217902,13,6,DL,DL,ATL,GA,Georgia,CLT,NC,North Carolina,-6.0,0.0,1300-1359,-18.0,0.0,1400-1459,0.0,226.0
517432,11,4,AA,AA,CLT,NC,North Carolina,DEN,CO,Colorado,-1.0,0.0,0700-0759,35.0,35.0,0900-0959,0.0,1337.0
388887,26,5,UA,UA,ORD,IL,Illinois,CLT,NC,North Carolina,31.0,31.0,1800-1859,17.0,17.0,2100-2159,0.0,599.0
