,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
151280,12,5,DL,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,9.0,9.0,0800-0859,-7.0,0.0,0900-0959,0.0,1199.0
33653,26,5,WN,WN,WN,DEN,CO,Colorado,ATL,GA,Georgia,0.0,0.0,1500-1559,5.0,5.0,1900-1959,0.0,1199.0
369205,31,3,UA,UA,UA,DEN,CO,Colorado,ATL,GA,Georgia,-9.0,0.0,1700-1759,-13.0,0.0,2200-2259,0.0,1199.0
76863,13,6,WN,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,2.0,2.0,0600-0659,2.0,2.0,0700-0759,0.0,1199.0
113933,23,2,WN,WN,WN,DEN,CO,Colorado,ATL,GA,Georgia,-7.0,0.0,1700-1759,-17.0,0.0,2200-2259,0.0,1199.0
233648,21,7,F9,F9,F9,ATL,GA,Georgia,DFW,TX,Texas,1.0,1.0,2000-2059,-7.0,0.0,2200-2259,0.0,731.0
150639,22,1,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,-6.0,0.0,0700-0759,-15.0,0.0,1200-1259,0.0,1199.0
180013,21,7,DL,DL,DL,ATL,GA,Georgia,DFW,TX,Texas,-6.0,0.0,0700-0759,19.0,19.0,0800-0859,0.0,731.0
175713,7,7,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,37.0,37.0,1400-1459,12.0,12.0,1900-1959,0.0,1199.0
219507,16,2,DL,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,-3.0,0.0,0700-0759,-19.0,0.0,1000-1059,0.0,731.0
180032,5,5,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,-8.0,0.0,1800-1859,-7.0,0.0,2300-2359,0.0,1199.0
151295,27,6,DL,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-4.0,0.0,0800-0859,-28.0,0.0,0900-0959,0.0,1199.0
176955,18,4,DL,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-3.0,0.0,1700-1759,3.0,3.0,1900-1959,0.0,1199.0
288413,4,4,NK,NK,NK,ATL,GA,Georgia,DFW,TX,Texas,-5.0,0.0,1400-1459,-26.0,0.0,1500-1559,0.0,731.0
484176,21,7,AA,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,17.0,17.0,1200-1259,10.0,10.0,1500-1559,0.0,731.0
6449,2,2,UA,YV,YV,DEN,CO,Colorado,DFW,TX,Texas,-4.0,0.0,1700-1759,-4.0,0.0,2000-2059,0.0,641.0
503170,6,6,AA,AA,AA,DFW,TX,Texas,DEN,CO,Colorado,4.0,4.0,2200-2259,7.0,7.0,2300-2359,0.0,641.0
510754,18,4,AA,AA,AA,DFW,TX,Texas,DEN,CO,Colorado,-2.0,0.0,1400-1459,18.0,18.0,1500-1559,0.0,641.0
510723,18,4,AA,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,9.0,9.0,1600-1659,17.0,17.0,1900-1959,0.0,641.0
432734,21,7,UA,YV,YV,DEN,CO,Colorado,DFW,TX,Texas,-4.0,0.0,1700-1759,-16.0,0.0,2000-2059,0.0,641.0
110438,16,2,WN,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,0.0,0.0,0700-0759,1.0,1.0,0800-0859,0.0,1199.0
73912,6,6,WN,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,-6.0,0.0,0600-0659,-21.0,0.0,0700-0759,0.0,1199.0
413421,21,7,UA,UA,UA,ATL,GA,Georgia,DEN,CO,Colorado,9.0,9.0,1600-1659,-7.0,0.0,1700-1759,0.0,1199.0
152791,8,1,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,2.0,2.0,1300-1359,3.0,3.0,1700-1759,0.0,1199.0
156638,13,6,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,9.0,9.0,1600-1659,-2.0,0.0,2100-2159,0.0,1199.0
152823,24,3,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,-3.0,0.0,1300-1359,1.0,1.0,1700-1759,0.0,1199.0
402920,22,1,UA,UA,UA,DEN,CO,Colorado,ATL,GA,Georgia,8.0,8.0,1000-1059,-1.0,0.0,1500-1559,0.0,1199.0
493669,5,5,AA,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,2.0,2.0,0001-0559,23.0,23.0,0700-0759,0.0,731.0
213073,22,1,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,-16.0,0.0,0001-0559,-37.0,0.0,0001-0559,0.0,1199.0
232428,12,5,F9,F9,F9,ATL,GA,Georgia,DFW,TX,Texas,47.0,47.0,1400-1459,72.0,72.0,1500-1559,0.0,731.0
17741,9,2,WN,WN,WN,DEN,CO,Colorado,ATL,GA,Georgia,160.0,160.0,1400-1459,147.0,147.0,1900-1959,0.0,1199.0
16865,9,2,WN,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,0.0,0.0,0700-0759,-21.0,0.0,0800-0859,0.0,1199.0
274592,16,2,NK,NK,NK,DFW,TX,Texas,ATL,GA,Georgia,-3.0,0.0,1800-1859,-16.0,0.0,2100-2159,0.0,731.0
151275,7,7,DL,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-3.0,0.0,0800-0859,-2.0,0.0,0900-0959,0.0,1199.0
226101,27,6,F9,F9,F9,ATL,GA,Georgia,DEN,CO,Colorado,-6.0,0.0,1100-1159,-21.0,0.0,1300-1359,0.0,1199.0
232430,15,1,F9,F9,F9,ATL,GA,Georgia,DFW,TX,Texas,79.0,79.0,1400-1459,79.0,79.0,1600-1659,0.0,731.0
510719,14,7,AA,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,55.0,55.0,1600-1659,51.0,51.0,1900-1959,0.0,641.0
484186,31,3,AA,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,0.0,0.0,1200-1259,-7.0,0.0,1500-1559,0.0,731.0
