,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
464462,1,1,AA,AA,AA,LAX,CA,California,ORD,IL,Illinois,-6.0,0.0,0700-0759,-13.0,0.0,1400-1459,0.0,1744.0
287166,17,3,NK,NK,NK,CLT,NC,North Carolina,MIA,FL,Florida,-9.0,0.0,1100-1159,-12.0,0.0,1300-1359,0.0,650.0
425591,3,3,UA,UA,UA,LAX,CA,California,DEN,CO,Colorado,18.0,18.0,1800-1859,4.0,4.0,2200-2259,0.0,862.0
13746,4,4,WN,WN,WN,DEN,CO,Colorado,ORD,IL,Illinois,6.0,6.0,1900-1959,-2.0,0.0,2200-2259,0.0,888.0
511378,5,5,AA,AA,AA,LAX,CA,California,JFK,NY,New York,-6.0,0.0,1400-1459,-28.0,0.0,2200-2259,0.0,2475.0
369243,31,3,UA,UA,UA,CLT,NC,North Carolina,DEN,CO,Colorado,-7.0,0.0,0800-0859,-6.0,0.0,1000-1059,0.0,1337.0
207496,2,2,DL,DL,DL,JFK,NY,New York,MIA,FL,Florida,-1.0,0.0,1500-1559,20.0,20.0,1800-1859,0.0,1089.0
195198,7,7,DL,DL,DL,LAS,NV,Nevada,ATL,GA,Georgia,-6.0,0.0,1300-1359,-18.0,0.0,1900-1959,0.0,1747.0
408415,8,1,UA,UA,UA,ORD,IL,Illinois,DEN,CO,Colorado,21.0,21.0,2000-2059,-4.0,0.0,2200-2259,0.0,888.0
207506,7,7,DL,DL,DL,JFK,NY,New York,MIA,FL,Florida,-2.0,0.0,1500-1559,27.0,27.0,1800-1859,0.0,1089.0
484169,14,7,AA,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,37.0,37.0,1200-1259,22.0,22.0,1500-1559,0.0,731.0
179261,7,7,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,-3.0,0.0,0600-0659,-34.0,0.0,1100-1159,0.0,1199.0
468798,20,6,AA,AA,AA,CLT,NC,North Carolina,DEN,CO,Colorado,1.0,1.0,1800-1859,-8.0,0.0,2000-2059,0.0,1337.0
15153,8,1,WN,WN,WN,MCO,FL,Florida,ATL,GA,Georgia,0.0,0.0,0600-0659,-3.0,0.0,0800-0859,0.0,404.0
500716,10,3,AA,AA,AA,DEN,CO,Colorado,CLT,NC,North Carolina,-10.0,0.0,0600-0659,-29.0,0.0,1100-1159,0.0,1337.0
467597,22,1,AA,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,-1.0,0.0,0800-0859,-1.0,0.0,1200-1259,0.0,936.0
391279,25,4,UA,UA,UA,LAS,NV,Nevada,DEN,CO,Colorado,,,1600-1659,,,1900-1959,1.0,628.0
466738,19,5,AA,AA,AA,LAS,NV,Nevada,CLT,NC,North Carolina,-6.0,0.0,0600-0659,-37.0,0.0,1300-1359,0.0,1916.0
162524,17,3,DL,DL,DL,MCO,FL,Florida,ATL,GA,Georgia,-5.0,0.0,1900-1959,-20.0,0.0,2100-2159,0.0,404.0
457435,23,2,AA,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,13.0,13.0,1800-1859,18.0,18.0,2000-2059,0.0,936.0
196552,1,1,DL,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-3.0,0.0,1000-1059,-26.0,0.0,1100-1159,0.0,1199.0
158739,23,2,DL,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,-3.0,0.0,1800-1859,-13.0,0.0,2000-2059,0.0,594.0
500860,3,3,AA,AA,AA,DFW,TX,Texas,JFK,NY,New York,21.0,21.0,1700-1759,32.0,32.0,2100-2159,0.0,1391.0
472438,22,1,AA,AA,AA,DFW,TX,Texas,ORD,IL,Illinois,-5.0,0.0,0001-0559,-15.0,0.0,0700-0759,0.0,802.0
180959,15,1,DL,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,2.0,2.0,1500-1559,-9.0,0.0,1700-1759,0.0,594.0
215470,24,3,DL,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,9.0,9.0,1600-1659,5.0,5.0,1800-1859,0.0,594.0
425509,3,3,UA,UA,UA,ORD,IL,Illinois,LAS,NV,Nevada,-6.0,0.0,2000-2059,-32.0,0.0,2200-2259,0.0,1514.0
81684,14,7,WN,WN,WN,LAS,NV,Nevada,ATL,GA,Georgia,34.0,34.0,1800-1859,9.0,9.0,0001-0559,0.0,1747.0
488194,2,2,AA,AA,AA,MCO,FL,Florida,CLT,NC,North Carolina,-5.0,0.0,1100-1159,-14.0,0.0,1300-1359,0.0,468.0
459668,10,3,AA,AA,AA,MIA,FL,Florida,LAS,NV,Nevada,62.0,62.0,1700-1759,61.0,61.0,1900-1959,0.0,2174.0
395722,12,5,UA,UA,UA,LAX,CA,California,ORD,IL,Illinois,,,1700-1759,,,2300-2359,1.0,1744.0
289635,21,7,NK,NK,NK,DFW,TX,Texas,MCO,FL,Florida,-2.0,0.0,0900-0959,-24.0,0.0,1300-1359,0.0,985.0
94901,30,2,WN,WN,WN,MCO,FL,Florida,ORD,IL,Illinois,-8.0,0.0,1400-1459,-15.0,0.0,1600-1659,0.0,1005.0
149637,3,3,DL,DL,DL,ATL,GA,Georgia,DFW,TX,Texas,-1.0,0.0,2100-2159,-15.0,0.0,2200-2259,0.0,731.0
150942,22,1,DL,DL,DL,LAX,CA,California,DFW,TX,Texas,-3.0,0.0,1800-1859,17.0,17.0,2300-2359,0.0,1235.0
384602,1,1,UA,UA,UA,ORD,IL,Illinois,DEN,CO,Colorado,-4.0,0.0,1400-1459,-25.0,0.0,1600-1659,0.0,888.0
378872,15,1,UA,UA,UA,LAS,NV,Nevada,LAX,CA,California,-1.0,0.0,1000-1059,-10.0,0.0,1200-1259,0.0,236.0
289633,19,5,NK,NK,NK,DFW,TX,Texas,MCO,FL,Florida,72.0,72.0,1200-1259,56.0,56.0,1500-1559,0.0,985.0
484482,29,1,AA,AA,AA,MIA,FL,Florida,ATL,GA,Georgia,4.0,4.0,1100-1159,12.0,12.0,1300-1359,0.0,594.0
481109,7,7,AA,AA,AA,ORD,IL,Illinois,DFW,TX,Texas,-8.0,0.0,1200-1259,-10.0,0.0,1400-1459,0.0,802.0
380454,14,7,UA,UA,UA,MCO,FL,Florida,LAX,CA,California,15.0,15.0,0700-0759,21.0,21.0,0900-0959,0.0,2218.0
485445,3,3,AA,AA,AA,LAS,NV,Nevada,DFW,TX,Texas,-5.0,0.0,1800-1859,-11.0,0.0,2200-2259,0.0,1055.0
454101,24,3,AA,AA,AA,LAX,CA,California,JFK,NY,New York,201.0,201.0,1100-1159,190.0,190.0,2000-2059,0.0,2475.0
