DayofMonth,IATA_Code_Marketing_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,CRSDepTime,DepTime,DepDelay,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,ArrTime,ArrDelay,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Div1Airport
1,AA,AA,ATL,GA,Georgia,CLT,NC,North Carolina,700,653,-7,0700-0759,15,708,752,6,758,-18,0800-0859,0,,0,76,65,44,1,226,,,,,,
1,AA,AA,CLT,NC,North Carolina,ATL,GA,Georgia,2238,2233,-5,2200-2259,9,2242,2324,4,2328,-25,2300-2359,0,,0,75,55,42,1,226,,,,,,
1,AA,AA,MIA,FL,Florida,MCO,FL,Florida,1003,1001,-2,1000-1059,26,1027,1104,8,1112,-1,1100-1159,0,,0,70,71,37,1,192,,,,,,
1,AA,AA,LAS,NV,Nevada,LAX,CA,California,2000,1957,-3,2000-2059,16,2013,2053,12,2105,-6,2100-2159,0,,0,71,68,40,1,236,,,,,,
1,AA,AA,MCO,FL,Florida,MIA,FL,Florida,1719,1722,3,1700-1759,12,1734,1812,8,1820,-8,1800-1859,0,,0,69,58,38,1,192,,,,,,
1,AA,AA,MIA,FL,Florida,MCO,FL,Florida,1610,1618,8,1600-1659,23,1641,1723,6,1729,10,1700-1759,0,,0,69,71,42,1,192,,,,,,
1,AA,AA,CLT,NC,North Carolina,MCO,FL,Florida,1551,1546,-5,1500-1559,10,1556,1710,21,1731,-4,1700-1759,0,,0,104,105,74,1,468,,,,,,
1,AA,AA,MCO,FL,Florida,CLT,NC,North Carolina,1825,1824,-1,1800-1859,17,1841,1955,6,2001,-11,2000-2059,0,,0,107,97,74,1,468,,,,,,
1,AA,AA,MCO,FL,Florida,CLT,NC,North Carolina,1932,1926,-6,1900-1959,14,1940,2054,19,2113,-5,2100-2159,0,,0,106,107,74,1,468,,,,,,
1,AA,AA,CLT,NC,North Carolina,MCO,FL,Florida,1653,1700,7,1600-1659,11,1711,1825,15,1840,-2,1800-1859,0,,0,109,100,74,1,468,,,,,,
1,AA,AA,JFK,NY,New York,CLT,NC,North Carolina,630,627,-3,0600-0659,18,645,809,7,816,-22,0800-0859,0,,0,128,109,84,1,541,,,,,,
1,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,721,711,-10,0700-0759,14,725,824,13,837,-20,0800-0859,0,,0,156,146,119,1,731,,,,,,
1,AA,AA,CLT,NC,North Carolina,ORD,IL,Illinois,950,946,-4,0900-0959,17,1003,1029,9,1038,-33,1100-1159,0,,0,141,112,86,1,599,,,,,,
1,AA,AA,CLT,NC,North Carolina,JFK,NY,New York,1305,1300,-5,1300-1359,21,1321,1433,10,1443,-17,1500-1559,0,,0,115,103,72,1,541,,,,,,
1,AA,AA,CLT,NC,North Carolina,MIA,FL,Florida,1807,1800,-7,1800-1859,22,1822,1948,13,2001,-16,2000-2059,0,,0,130,121,86,1,650,,,,,,
1,AA,AA,JFK,NY,New York,CLT,NC,North Carolina,1440,1442,2,1400-1459,19,1501,1626,9,1635,-16,1600-1659,0,,0,131,113,85,1,541,,,,,,
1,AA,AA,JFK,NY,New York,CLT,NC,North Carolina,1135,1131,-4,1100-1159,36,1207,1335,6,1341,-2,1300-1359,0,,0,128,130,88,1,541,,,,,,
1,AA,AA,CLT,NC,North Carolina,ORD,IL,Illinois,1625,1617,-8,1600-1659,12,1629,1658,24,1722,-13,1700-1759,0,,0,130,125,89,1,599,,,,,,
1,AA,AA,CLT,NC,North Carolina,ORD,IL,Illinois,1821,1815,-6,1800-1859,31,1846,1917,14,1931,-1,1900-1959,0,,0,131,136,91,1,599,,,,,,
1,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,1240,1247,7,1200-1259,12,1259,1525,6,1531,-7,1500-1559,0,,0,118,104,86,1,641,,,,,,
1,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,1116,1112,-4,1100-1159,30,1142,1240,29,1309,6,1300-1359,0,,0,167,177,118,1,731,,,,,,
1,AA,AA,MIA,FL,Florida,CLT,NC,North Carolina,1840,1842,2,1800-1859,17,1859,2037,13,2050,1,2000-2059,0,,0,129,128,98,1,650,,,,,,
1,AA,AA,CLT,NC,North Carolina,JFK,NY,New York,2031,2044,13,2000-2059,24,2108,2229,5,2234,6,2200-2259,0,,0,117,110,81,1,541,,,,,,
1,AA,AA,ORD,IL,Illinois,DFW,TX,Texas,500,456,-4,0001-0559,12,508,704,9,713,-22,0700-0759,0,,0,155,137,116,1,802,,,,,,
